31/12/1998;2.7625
30/11/1998;2.77
30/10/1998;2.9425
30/09/1998;2.6925
31/08/1998;2.375
31/07/1998;2.525
30/06/1998;2.7625
29/05/1998;2.8425
30/04/1998;2.8975
31/03/1998;3.2025
27/02/1998;3.275
30/01/1998;3.3725
31/12/1997;3.2575
28/11/1997;3.4175
31/10/1997;3.605
30/09/1997;3.5425
29/08/1997;3.7825
31/07/1997;3.62
30/06/1997;3.2375
30/05/1997;3.605
30/04/1997;4.23
31/03/1997;3.975
28/02/1997;3.73
31/01/1997;3.5975
31/12/1996;3.8125
29/11/1996;3.96
31/10/1996;3.7125
30/09/1996;4.36
30/08/1996;4.485
31/07/1996;4.4
28/06/1996;4.785
31/05/1996;5.2875
30/04/1996;6.415
29/03/1996;4.9925
29/02/1996;5.125
31/01/1996;5.195
29/12/1995;5.1225
30/11/1995;5.015
31/10/1995;4.9775
29/09/1995;4.9225
31/08/1995;4.4925
31/07/1995;4.6425
30/06/1995;4.46
31/05/1995;3.7325
28/04/1995;3.505
31/03/1995;3.4325
28/02/1995;3.4975
31/01/1995;3.735
30/12/1994;4.015
30/11/1994;3.722
31/10/1994;3.846
30/09/1994;4.036
31/08/1994;3.636
29/07/1994;3.306
30/06/1994;3.128
31/05/1994;3.276
29/04/1994;3.266
31/03/1994;3.298
28/02/1994;3.426
31/01/1994;3.718
31/12/1993;3.782
30/11/1993;3.4825
29/10/1993;3.355
30/09/1993;3.1875
31/08/1993;3.0875
30/07/1993;3.04
30/06/1993;2.85
31/05/1993;2.8825
30/04/1993;3.48
31/03/1993;3.4725
26/02/1993;3.7225
29/01/1993;3.8
31/12/1992;3.5375
30/11/1992;3.7975
30/10/1992;3.545
30/09/1992;3.5025
31/08/1992;3.1975
31/07/1992;3.1725
30/06/1992;3.495
29/05/1992;3.495
30/04/1992;3.7225
31/03/1992;3.79
28/02/1992;4.015
31/01/1992;4.4025
31/12/1991;4.0475
29/11/1991;3.6825
31/10/1991;3.635
30/09/1991;3.325
30/08/1991;3.105
31/07/1991;2.94
28/06/1991;2.6425
31/05/1991;2.87
30/04/1991;2.7275
29/03/1991;2.8675
28/02/1991;2.5975
31/01/1991;2.63
31/12/1990;2.605
30/11/1990;2.45
31/10/1990;2.62
28/09/1990;2.7775
31/08/1990;2.625
31/07/1990;2.8825
29/06/1990;3.2575
31/05/1990;3.3375
30/04/1990;3.7425
30/03/1990;3.5175
28/02/1990;3.9325
31/01/1990;3.7575
29/12/1989;4.0925
30/11/1989;4.075
31/10/1989;3.945
29/09/1989;4.0725
31/08/1989;3.86
31/07/1989;3.845
30/06/1989;3.9725
31/05/1989;3.875
28/04/1989;4.175
31/03/1989;4.0375
28/02/1989;4.3625
31/01/1989;4.405
30/12/1988;4.4
30/11/1988;4.2475
31/10/1988;4.1575
30/09/1988;4.1475
31/08/1988;3.975
29/07/1988;3.6825
30/06/1988;3.87
31/05/1988;3.515
29/04/1988;3.045
31/03/1988;2.9925
29/02/1988;3.155
29/01/1988;3.26
31/12/1987;3.1075
30/11/1987;3.0975
30/10/1987;2.965
